Value,Status,Strand,Chromosome,Gene,CC0,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,BP0,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BP8,BP9,BP10,BP11,BP12,BP13,BP14,MF0,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14
800,Verified,W,chr 7,BUD13,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,,,,,,,,,,,,,,,
4586,Verified,C,chr 7,XRN1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1418,Verified,W,chr 7,NUP49,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,structural molecule activity,,,,,,,,,,,,,,
1694,Verified,W,chr 7,ROK1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1280,Verified,W,chr 7,SUA5,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
2852,Verified,C,chr 7,PMR1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,biological regulation,regulation of biological quality,homeostatic process,chemical homeostasis,ion homeostasis,cellular ion homeostasis,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
677,Verified,W,chr 7,CUP2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
2696,Verified,C,chr 7,RAD54,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA recombination,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1712,Verified,W,chr 7,AIM14,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
1538,Verified,W,chr 7,RCK1,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1043,Verified,W,chr 7,ARI1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
3251,Verified,W,chr 7,AMS1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,metabolic process,primary metabolic process,carbohydrate metabolic process,oligosaccharide metabolic process,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1130,Verified,W,chr 7,CDC43,,,,,,,,,,,,,,,,biological regulation,regulation of biological quality,homeostatic process,chemical homeostasis,ion homeostasis,cellular ion homeostasis,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
818,Verified,C,chr 7,LYS5,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
3398,Verified,W,chr 7,NUT1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,,,,,,,,,,,,,,,
4469,Verified,C,chr 7,INO80,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1130,Verified,W,chr 7,ARO2,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
575,Verified,C,chr 7,RPL9A,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
2105,Verified,W,chr 7,TIP20,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,,,,,,,,,,,,,,,
2057,Verified,C,chr 7,ROG1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1850,Verified,C,chr 7,GPI10,membrane,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein lipidation,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
2732,Verified,W,chr 7,HUL5,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein modification by small protein conjugation or removal,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
2408,Verified,W,chr 7,FLC3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,organic substance transport,nucleobase-containing compound transport,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
2869,Verified,W,chr 7,SEC27,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,binding,protein binding,ubiquitin-like protein binding,,,,,,,,,,,,
962,Verified,C,chr 7,MRM2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring one-carbon groups",methyltransferase activity,,,,,,,,,,,
653,Verified,W,chr 7,RPL1B,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
4211,Verified,C,chr 7,SNT2,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
1379,Verified,W,chr 7,CEG1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",nucleotidyltransferase activity,,,,,,,,,,,
1352,Verified,C,chr 7,RSM23,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,mitochondrial translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
851,Verified,C,chr 7,CWC23,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,,,,,,,,,,,,,,,
383,Verified,C,chr 7,SOH1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,,,,,,,,,,,,,,,
1142,Verified,W,chr 7,SCS3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,Verified,W,chr 7,MET13,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
1934,Verified,C,chr 7,MON1,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,molecular function regulator,guanyl-nucleotide exchange factor activity,,,,,,,,,,,,,
764,Verified,W,chr 7,RPS2,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of metabolic process,regulation of macromolecule metabolic process,regulation of gene expression,posttranscriptional regulation of gene expression,regulation of translation,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1577,Verified,C,chr 7,NAB2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,mRNA processing,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
2303,Verified,C,chr 7,PRP43,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1505,Verified,W,chr 7,COQ8,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1832,Verified,W,chr 7,CDC20,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein modification by small protein conjugation or removal,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
968,Verified,W,chr 7,SNF4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
1550,Verified,C,chr 7,TAF6,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,binding,chromatin binding,,,,,,,,,,,,,
1391,Verified,W,chr 7,NSA1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,cellular component organization or biogenesis,cellular component biogenesis,ribonucleoprotein complex biogenesis,ribosomal large subunit biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Verified,C,chr 7,VPS73,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
960,Verified,W,chr 7,RPL28,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1922,Verified,W,chr 7,LSG1,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,cellular process,cellular component organization,cellular component assembly,macromolecular complex assembly,cellular macromolecular complex assembly,ribonucleoprotein complex assembly,ribosome assembly,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,GTPase activity,,,,,,,,
737,Verified,W,chr 7,USE1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,,,,,,,,,,,,,,,
1448,Verified,W,chr 7,SRM1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,localization,establishment of localization,transport,intracellular transport,nuclear transport,,,,,,,,,,,molecular function regulator,guanyl-nucleotide exchange factor activity,,,,,,,,,,,,,
1733,Verified,C,chr 7,VPS45,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,binding,protein binding,unfolded protein binding,,,,,,,,,,,,
3347,Verified,C,chr 7,PAN2,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA repair,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
3953,Verified,W,chr 7,NUP145,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
986,Verified,C,chr 7,NBP35,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
498,Verified,C,chr 7,MMS2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein modification by small protein conjugation or removal,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
2249,Verified,W,chr 7,MAD1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,localization,establishment of localization,transport,intracellular transport,nuclear transport,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Verified,C,chr 7,GUP1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein lipidation,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
392,Verified,W,chr 7,MPC1,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,localization,establishment of localization,transport,ion transport,,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
656,Verified,W,chr 7,KXD1,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,vesicle organization,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,Verified,C,chr 7,DBP3,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1691,Verified,C,chr 7,HNM1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,ion transport,,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
1661,Verified,C,chr 7,RPL7A,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
1163,Verified,C,chr 7,MPS2,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,cytoskeleton,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,cytoskeleton organization,,,,,,,,,,,,structural molecule activity,,,,,,,,,,,,,,
2501,Verified,W,chr 7,HSF1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
2072,Verified,W,chr 7,AFT1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
368,Verified,C,chr 7,RPB9,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",nucleotidyltransferase activity,,,,,,,,,,,
584,Verified,W,chr 7,MNP1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,mitochondrial translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
1154,Verified,W,chr 7,NPY1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,microbody,peroxisome,,,,,,,,,,,metabolic process,cellular metabolic process,cellular aromatic compound metabolic process,nucleobase-containing compound metabolic process,nucleobase-containing small molecule metabolic process,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1973,Verified,W,chr 7,SGF73,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
1511,Verified,C,chr 7,ALG2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1685,Verified,C,chr 7,MRH4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,cellular process,cellular component organization,cellular component assembly,macromolecular complex assembly,cellular macromolecular complex assembly,ribonucleoprotein complex assembly,ribosome assembly,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1112,Verified,W,chr 7,PUS2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,catalytic activity,isomerase activity,,,,,,,,,,,,,
3536,Verified,W,chr 7,PYC1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,primary metabolic process,carbohydrate metabolic process,,,,,,,,,,,,,catalytic activity,ligase activity,,,,,,,,,,,,,
1925,Verified,W,chr 7,YBP2,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,cytoskeleton organization,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,Verified,W,chr 7,PKP2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,peptidyl-amino acid modification,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
518,Verified,W,chr 7,RAD6,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1532,Verified,W,chr 7,OLE1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,monocarboxylic acid metabolic process,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
416,Verified,C,chr 7,ERV14,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,,,,,,,,,,,,,,,
713,Verified,W,chr 7,PRM8,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Verified,W,chr 7,MST27,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,vesicle organization,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Verified,W,chr 7,TYW3,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring one-carbon groups",methyltransferase activity,,,,,,,,,,,
2744,Verified,C,chr 7,TIF4632,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,organelle assembly,,,,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1217,Verified,C,chr 7,RPT6,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
608,Verified,W,chr 7,ALG13,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
